Year,Geography,Value
1836,uk,1124.8
1837,uk,909.1
1838,uk,937.2
1839,uk,1064.6
1840,uk,889.3
1841,uk,1121.2
1842,uk,925.2
1843,uk,1008
1844,uk,828.8
1845,uk,1024.1
1846,uk,1059.4
1847,uk,962.2
1848,uk,1181.2
1849,uk,986.9
1850,uk,949.1
1851,uk,904.2
1852,uk,1253
1853,uk,941.3
1854,uk,902.1
1855,uk,786.5
1856,uk,932.3
1857,uk,916.4
1858,uk,876.6
1859,uk,1041.9
1860,uk,1105.5
1861,uk,1056.2
1862,uk,1097.5
1863,uk,1085.2
1864,uk,908.4
1865,uk,972.6
1866,uk,1172.5
1867,uk,1022.6
1868,uk,1144.7
1869,uk,1066.3
1870,uk,853.8
1871,uk,979.8
1872,uk,1439.1
1873,uk,997.6
1874,uk,1048.4
1875,uk,1093.3
1876,uk,1148.3
1877,uk,1324.4
1878,uk,1040.2
1879,uk,1018.7
1880,uk,1035.1
1881,uk,1045.5
1882,uk,1249.5
1883,uk,1120.6
1884,uk,1019.2
1885,uk,1013.9
1886,uk,1095
1887,uk,806.5
1888,uk,994.2
1889,uk,931.5
1890,uk,1012.1
1891,uk,1109.8
1892,uk,978.4
1893,uk,941.1
1894,uk,1102.7
1895,uk,961.2
1896,uk,988.7
1897,uk,1037.1
1898,uk,1021.6
1899,uk,1018.3
1900,uk,1150.6
1901,uk,927.3
1902,uk,882.3
1903,uk,1345.9
1904,uk,963.8
1905,uk,931.4
1906,uk,1070.4
1907,uk,1042.6
1908,uk,977.4
1909,uk,1035.4
1910,uk,1128.1
1911,uk,1010.7
1912,uk,1218.5
1913,uk,1010.9
1914,uk,1101.5
1915,uk,1049.1
1916,uk,1178.6
1917,uk,1021.3
1918,uk,1112.2
1919,uk,1015.5
1920,uk,1127.9
1921,uk,891.9
1922,uk,1031.7
1923,uk,1203.5
1924,uk,1162.6
1925,uk,1057.2
1926,uk,1083.5
1927,uk,1198.9
1928,uk,1240.3
1929,uk,1048.6
1930,uk,1167.6
1931,uk,1106.2
1932,uk,1086.5
1933,uk,831.3
1934,uk,1062.8
1935,uk,1134
1936,uk,1054.3
1937,uk,1001.8
1938,uk,1178.4
1939,uk,1083.9
1940,uk,1029.7
1941,uk,935.8
1942,uk,1020.2
1943,uk,1066.8
1944,uk,1077.3
1945,uk,998.5
1946,uk,1148.1
1947,uk,974.9
1948,uk,1193.4
1949,uk,1031.4
1950,uk,1188.2
1951,uk,1185.6
1952,uk,1000
1953,uk,937.8
1954,uk,1295.3
1955,uk,881.7
1956,uk,1031
1957,uk,1089.8
1958,uk,1118.7
1959,uk,987.4
1960,uk,1200.9
1961,uk,1082
1962,uk,1030.9
1963,uk,1000.9
1964,uk,918.6
1965,uk,1138.8
1966,uk,1187.8
1967,uk,1204.2
1968,uk,1071.9
1969,uk,1002.4
1970,uk,1120.5
1971,uk,935.3
1972,uk,986.4
1973,uk,928.8
1974,uk,1180.7
1975,uk,921.4
1976,uk,974.1
1977,uk,1103.5
1978,uk,1062.2
1979,uk,1171.5
1980,uk,1155.2
1981,uk,1181.7
1982,uk,1199.1
1983,uk,1085
1984,uk,1090.1
1985,uk,1102.2
1986,uk,1213.4
1987,uk,1060.8
1988,uk,1160.9
