Year,England,Wales,Scotland,Northern Ireland,UK
1998,1.24,0.3,1.3,0.08,2.92
1999,1.25,0.3,1.31,0.08,2.94
2000,1.25,0.3,1.32,0.08,2.95
2001,1.26,0.3,1.33,0.08,2.97
2002,1.26,0.3,1.34,0.08,2.99
2003,1.27,0.3,1.35,0.09,3
2004,1.27,0.3,1.35,0.09,3.01
2005,1.28,0.3,1.36,0.09,3.02
2006,1.28,0.3,1.36,0.09,3.03
2007,1.28,0.3,1.37,0.09,3.04
2008,1.29,0.3,1.37,0.09,3.05
2009,1.29,0.3,1.38,0.09,3.05
2010,1.29,0.3,1.38,0.09,3.06
2011,1.29,0.3,1.38,0.09,3.07
2012,1.3,0.3,1.4,0.11,3.11
2013,1.3,0.31,1.41,0.11,3.13
2014,1.3,0.31,1.42,0.11,3.14
2015,1.31,0.31,1.43,0.11,3.15
2016,1.31,0.31,1.44,0.11,3.16
2017,1.31,0.31,1.44,0.11,3.16
2018,1.31,0.31,1.45,0.11,3.17
2019,1.32,0.31,1.46,0.11,3.2
2020,1.32,0.31,1.47,0.12,3.22
2021,1.32,0.31,1.48,0.12,3.23
