Year,Geography,Value
1884,uk,8.48
1885,uk,7.36
1886,uk,7.45
1887,uk,7.51
1888,uk,7.28
1889,uk,8.02
1890,uk,7.96
1891,uk,7.6
1892,uk,7.02
1893,uk,8.78
1894,uk,8.19
1895,uk,7.55
1896,uk,8.26
1897,uk,8.23
1898,uk,8.88
1899,uk,8.56
1900,uk,8.29
1901,uk,8.08
1902,uk,7.73
1903,uk,8.02
1904,uk,7.99
1905,uk,8.19
1906,uk,8.29
1907,uk,7.83
1908,uk,8.31
1909,uk,7.52
1910,uk,8.09
1911,uk,8.81
1912,uk,8.17
1913,uk,8.59
1914,uk,8.7
1915,uk,7.81
1916,uk,8.1
1917,uk,7.52
1918,uk,8.33
1919,uk,7.42
1920,uk,8.46
1921,uk,9.24
1922,uk,7.63
1923,uk,7.97
1924,uk,8.19
1925,uk,8.12
1926,uk,8.59
1927,uk,8.07
1928,uk,8.35
1929,uk,7.98
1930,uk,8.29
1931,uk,7.98
1932,uk,8.35
1933,uk,8.82
1934,uk,8.87
1935,uk,8.52
1936,uk,8.26
1937,uk,8.33
1938,uk,8.92
1939,uk,8.57
1940,uk,8.01
1941,uk,7.96
1942,uk,8.03
1943,uk,8.88
1944,uk,8.44
1945,uk,9.13
1946,uk,8.35
1947,uk,8.37
1948,uk,8.81
1949,uk,9.34
1950,uk,8.3
1951,uk,8.11
1952,uk,7.99
1953,uk,8.91
1954,uk,8.13
1955,uk,8.23
1956,uk,7.9
1957,uk,8.84
1958,uk,8.25
1959,uk,9.24
1960,uk,8.54
1961,uk,8.67
1962,uk,7.56
1963,uk,7.4
1964,uk,8.31
1965,uk,7.75
1966,uk,8.19
1967,uk,8.47
1968,uk,8.16
1969,uk,8.12
1970,uk,8.31
1971,uk,8.73
1972,uk,8.1
1973,uk,8.43
1974,uk,8.38
1975,uk,8.77
1976,uk,8.74
1977,uk,8.27
1978,uk,8.23
1979,uk,7.59
1980,uk,8.26
1981,uk,8.1
1982,uk,8.66
1983,uk,8.83
1984,uk,8.57
1985,uk,7.78
1986,uk,7.67
1987,uk,7.99
1988,uk,8.73
1989,uk,9.23
1990,uk,9.38
1991,uk,8.54
1992,uk,8.69
1993,uk,8.33
1994,uk,8.89
1995,uk,9.17
1996,uk,8.18
1997,uk,9.41
1998,uk,9.16
1999,uk,9.37
2000,uk,9.1
2001,uk,8.8
2002,uk,9.44
2003,uk,9.47
2004,uk,9.44
2005,uk,9.42
2006,uk,9.7
2007,uk,9.56
2008,uk,9.02
2009,uk,9.14
2010,uk,7.94
2011,uk,9.61
2012,uk,8.74
2013,uk,8.74
2014,uk,9.88
2015,uk,9.18
2016,uk,9.29
2017,uk,9.53
2018,uk,9.45
2019,uk,9.39
2020,uk,9.62
2021,uk,9.28
1884,england,9.26
1885,england,8.11
1886,england,8.25
1887,england,7.97
1888,england,7.82
1889,england,8.5
1890,england,8.45
1891,england,8.1
1892,england,7.68
1893,england,9.44
1894,england,8.82
1895,england,8.28
1896,england,8.89
1897,england,8.97
1898,england,9.58
1899,england,9.31
1900,england,9.09
1901,england,8.66
1902,england,8.4
1903,england,8.79
1904,england,8.64
1905,england,8.72
1906,england,9.02
1907,england,8.51
1908,england,8.86
1909,england,8.17
1910,england,8.8
1911,england,9.63
1912,england,8.95
1913,england,9.35
1914,england,9.45
1915,england,8.54
1916,england,8.77
1917,england,8.14
1918,england,9.09
1919,england,8.1
1920,england,9.15
1921,england,10.08
1922,england,8.29
1923,england,8.68
1924,england,8.86
1925,england,8.81
1926,england,9.29
1927,england,8.77
1928,england,9.14
1929,england,8.63
1930,england,9.07
1931,england,8.58
1932,england,8.97
1933,england,9.44
1934,england,9.57
1935,england,9.32
1936,england,8.89
1937,england,9.11
1938,england,9.63
1939,england,9.22
1940,england,8.61
1941,england,8.62
1942,england,8.66
1943,england,9.6
1944,england,9.1
1945,england,9.82
1946,england,9.02
1947,england,9.17
1948,england,9.54
1949,england,10.1
1950,england,9.06
1951,england,8.87
1952,england,8.75
1953,england,9.45
1954,england,8.81
1955,england,8.87
1956,england,8.43
1957,england,9.58
1958,england,8.97
1959,england,10
1960,england,9.26
1961,england,9.49
1962,england,8.1
1963,england,7.95
1964,england,8.94
1965,england,8.48
1966,england,9
1967,england,9.2
1968,england,8.89
1969,england,8.86
1970,england,9.1
1971,england,9.31
1972,england,8.78
1973,england,9.18
1974,england,9.07
1975,england,9.47
1976,england,9.49
1977,england,9.01
1978,england,8.91
1979,england,8.4
1980,england,8.92
1981,england,8.84
1982,england,9.44
1983,england,9.6
1984,england,9.28
1985,england,8.52
1986,england,8.39
1987,england,8.73
1988,england,9.42
1989,england,10.17
1990,england,10.29
1991,england,9.2
1992,england,9.49
1993,england,9.13
1994,england,9.84
1995,england,10.07
1996,england,8.8
1997,england,10.14
1998,england,9.97
1999,england,10.26
2000,england,9.92
2001,england,9.63
2002,england,10.28
2003,england,10.23
2004,england,10.21
2005,england,10.16
2006,england,10.57
2007,england,10.34
2008,england,9.8
2009,england,9.92
2010,england,8.76
2011,england,10.54
2012,england,9.53
2013,england,9.43
2014,england,10.75
2015,england,10.15
2016,england,10.12
2017,england,10.39
2018,england,10.43
2019,england,10.22
2020,england,10.56
2021,england,10.06
1884,wales,8.71
1885,wales,7.57
1886,wales,7.86
1887,wales,7.52
1888,wales,7.52
1889,wales,8.16
1890,wales,8.08
1891,wales,7.91
1892,wales,7.46
