Label,Notation,Parent Notation,Sort Priority
agriculture forestry and fishing,agriculture-forestry-and-fishing,,1
mining and quarrying,mining-and-quarrying,,2
manufacturing,manufacturing,,3
electricity gas steam and air conditioning supply,electricity-gas-steam-and-air-conditioning-supply,,4
water supply sewerage waste management and remediation activities,water-supply-sewerage-waste-management-and-remediation-activities,,5
construction,construction,,6
wholesale and retail trade repair of motor vehicles and motorcycles,wholesale-and-retail-trade-repair-of-motor-vehicles-and-motorcycles,,7
transport and storage,transport-and-storage,,8
accommodation and food services,accommodation-and-food-services,,9
information and communication,information-and-communication,,10
financial and insurance activities,financial-and-insurance-activities,,11
real estate activities,real-estate-activities,,12
professional scientific and technical activities,professional-scientific-and-technical-activities,,13
administrative and support service activities,administrative-and-support-service-activities,,14
public administration and defence compulsory social security,public-administration-and-defence-compulsory-social-security,,15
education,education,,16
human health and social work activities,human-health-and-social-work-activities,,17
arts entertainment and recreation,arts-entertainment-and-recreation,,18
other service activities,other-service-activities,,19
activities of households as employers undifferentiated goods and services producing activities of households for own use,activities-of-households-as-employers-undifferentiated-goods-and-services-producing-activities-of-households-for-own-use,,20
consumer expenditure,consumer-expenditure,,21
land use land use change and forestry lulucf,land-use-land-use-change-and-forestry-lulucf,,22
not applicable,not-applicable,,23
