,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"5.2.2 Other household textiles, including cushions,towells, curtains",3771.248497,3521.288631,3547.339687,3015.266451,2273.804083,2610.764512,2749.900566,2383.028964,2251.704918,2599.728414,1761.727145,1845.100737,2087.351882,1898.804488,2181.900462,1874.225965,1823.493457,1702.779693
5.3.1 Gas cookers,55.55481076,85.91068621,38.57537647,44.59201781,3.711092393,39.62755221,28.10434697,49.52809607,16.30976054,35.79997351,0,2.99961079,0.912319055,10.07717476,23.23192025,20.18595305,7.434545757,80.08276841
"5.3.2 Electric cookers, combined gas/electric cookers",163.4067911,164.369711,133.3664064,83.82208763,156.0691341,104.4397726,140.0368478,70.07139558,53.20351244,57.75316849,73.48301418,31.59983217,24.01706339,111.7534428,67.51414207,43.60297402,36.15904058,38.95268029
5.3.3 Clothes washing machines and clothes drying machines,251.8737617,259.0955761,213.2912618,165.3487805,199.3925734,167.5316178,181.9240894,214.1851051,174.3139958,94.45957183,102.465407,101.3250374,138.5734347,132.6096677,159.890609,120.3095812,107.2867997,155.9643772
"5.3.4 Refridgerators, freezers and fridge freezers",216.2175919,145.8372391,125.1505088,170.3009296,123.1058088,226.2629037,137.219998,164.6913266,62.73183346,111.5136081,151.5480339,118.628385,72.39493816,46.57511996,72.36028686,118.7340169,79.39029003,100.7601975
"5.3.5 Other major electrical appliances e.g. dish washers, microaves, vacuum cleaners, heaters",483.4659171,384.2183532,419.1788055,496.2012829,518.5285917,384.4402753,483.7167088,314.7866671,371.6775983,287.9744485,158.8134146,363.8303047,310.0536438,308.4047895,309.7793299,274.7162336,316.826617,256.892203
5.3.6 Fire extinguishers,4.723876932,6.791160443,13.4191502,4.313454067,3.394879091,7.167358379,35.38235122,43.45930061,1.169942793,0.959731461,0.128085124,0.856196692,0,0.233514031,2.569448995,4.681201258,0.325253837,7.507546529
5.3.7 Small electric household appliances,137.9011022,190.6656645,155.7530605,168.1945046,188.5407464,174.0503523,165.5264952,119.6893786,92.21517072,76.2737431,103.1926304,98.45884109,121.3457442,182.8427279,183.3645498,84.0143708,94.66044462,98.75066334
5.3.8 Spare parts for appliances and repairs,471.7226883,331.5644037,356.8074544,322.5159818,264.6854197,271.1301997,217.1199695,162.654886,151.4440954,151.9966534,225.7088483,159.2861596,186.9714803,145.3644322,148.2661263,130.1702903,157.6028782,150.6543471
5.3.9 Rental/hire of major hhold appliances,0,46.89502176,24.18008349,30.88998501,9.516286496,5.297576138,8.53635625,8.609400601,12.78306289,11.71187784,4.910388024,4.894736642,8.252025084,7.551672523,4.793063156,4.197288658,0.656693086,6.631836956
"5.4.1 Glassware, china, pottery, cutlery and silverware",2852.073023,2613.957811,2567.926286,2317.993937,2471.62321,2222.762315,2271.725663,1707.477135,1269.18554,1462.651194,1575.012513,1623.979051,1456.186103,1170.757709,1211.15933,898.6232795,1056.874343,962.5090574
5.4.2 Kitchen and domestic utensils,3480.247286,2050.400919,1799.054684,2208.204984,2371.454106,2424.811012,1928.406418,2167.626849,1755.260004,1456.792571,1602.414904,1628.119922,1771.506537,1671.926075,1544.225568,1349.457871,1220.752409,1263.649778
"5.4.3 Repair of glassware, tableware and household utensils",13.76359199,0.741019526,3.365061566,5.712183691,1.124379014,13.19528422,0,4.37120757,22.27416059,0,0,0.361440685,0.382800905,0,1.163597466,0.487673028,4.778774293,0
5.4.4 Storage and other durable household articles,0,1534.978109,1753.144946,1847.945596,1655.786929,1655.207308,1730.785172,1495.987494,1270.099512,1007.832957,1098.258728,1133.512194,1107.770007,1078.205716,919.4410722,1098.059772,823.1389566,1034.533325
5.5.1 Electrical tools,364.3353838,336.2277224,360.7172747,297.3892308,305.9032706,304.1438632,370.8371245,497.5224142,201.5163861,185.6139856,156.3930533,276.6940789,139.6492395,94.14907407,85.09181588,74.83616745,57.24474297,71.71238506
"5.5.2 Garden tools, equipment and accessories",559.810299,439.945546,442.4378348,527.650049,395.9654505,499.9518599,602.9875728,378.758213,325.979116,228.8887653,275.1162264,304.2251445,324.1193984,87.55808394,126.4345584,117.1029187,65.93426211,78.35913356
5.5.3 Small tools,426.0195394,388.8756268,397.7191786,416.7987715,466.4650367,498.994561,628.059588,535.9417665,244.7334121,264.093738,236.3674936,190.3493347,159.3908605,81.53588159,96.38399974,87.83817383,69.79138451,71.53014276
"5.5.4 Door, electrical and other fittings",672.8255631,829.2373395,759.5677787,747.5090921,805.3720156,829.7355846,1155.538091,886.623186,535.6865309,451.6043798,469.0050357,376.8606147,291.1325527,217.0437167,127.6644378,107.4031742,134.3173969,126.9938495
5.5.5 Electrical consumables,527.6943952,570.8312738,694.2012728,694.1086307,712.1259325,889.3277234,847.0435523,868.7655378,419.0246264,426.4551669,487.4595434,439.4009644,334.9689451,167.4761113,153.2831914,107.6660084,142.5914659,129.1862584
"5.6.1.1 Detergents, washing-up liquid, washing powder",488.2391155,431.5043237,406.5038879,391.8570331,366.8379482,350.6044491,336.1993262,262.4266221,227.1474326,205.5924771,202.6966024,221.3848806,196.1821355,186.2772019,161.8967732,123.8270418,109.1304772,115.6327635
"5.6.1.2 Disinfectants, polishes, other cleaning materials, some pest controls",544.9597067,450.8286007,432.6883775,440.4619171,405.429264,401.6277405,397.227459,288.4853809,258.3499281,233.7317604,235.2420594,258.5616258,248.5987278,234.6031066,211.0754686,172.1241362,159.5067155,184.0869763
5.6.2.1 Kitchen disposibles,340.7217141,301.2382539,265.8291042,283.2256738,250.299688,238.3817283,250.5938826,191.0247911,174.876968,164.5741451,161.8394127,192.3704906,172.7105258,158.322673,147.0265305,131.0203604,124.4357997,142.1964832
"5.6.2.2 Household hardwear and appliances, matches",132.5109407,93.56822443,117.6729133,97.5427558,93.43483464,91.07613802,82.5863388,54.69460653,60.06643765,54.15755904,46.76189918,62.2216626,66.51681646,58.16098829,49.6046169,39.89623052,39.32962902,38.65033529
"5.6.2.3 Kitchen gloves, cloths etc",0,48.51675249,49.32099198,47.64401753,45.73333802,43.57688719,42.07476341,32.25780631,27.35323897,25.79535389,29.05503197,30.9180736,31.91020817,26.89221408,25.40659355,20.76309025,18.1283747,21.12721105
"5.6.2.4 Pins, needles, tape measures, nails, nuts and bolts",67.02951125,59.05120823,59.42029786,58.11861893,53.81458986,43.12430384,34.34008428,29.98500659,39.56026988,33.37528821,36.97161255,29.64039071,27.63988036,31.21794198,26.1651558,24.50125812,27.32940436,25.88744151
"5.6.3.1 Domestic services including cleaners, gardeners, au pairs",709.6018862,378.586174,317.5525055,181.1965703,185.2101904,130.8528964,220.7158804,231.1470906,248.5887229,277.9345371,148.6433232,167.2014295,169.0901861,158.9021114,160.4919044,153.7242866,98.53109331,106.4748203
"5.6.3.2 Carpet cleaning , ironing service and window cleaner",203.6553409,153.1301219,115.9854305,55.48833204,61.37983588,58.17180036,104.2837238,85.93003647,92.71892189,73.16856183,57.47487251,50.21368366,45.70461002,53.04283519,40.89024411,47.45331726,24.59418129,22.5646185
5.6.3.3 Hire/repairof household furniture and furnishings,22.44972895,0.958110711,15.37779931,0.582269101,8.065011689,3.840570003,5.25470881,2.578462483,21.03416333,1.11726823,7.835089374,3.595681603,2.685722391,1.339886102,0.818042498,0.895004644,0.004301818,0.074888519
6.1.1.1 NHS prescription charges and payments,1465.395244,1620.440435,1412.696308,1615.096898,1513.456588,1525.275798,1423.398392,1442.932055,925.8518977,981.3430113,974.5580568,1117.905903,915.593011,827.1999732,831.1121389,862.4134963,885.6646204,848.9697434
6.1.1.2 Medicines and medical goods (not NHS),5069.067236,5014.580405,4844.970502,5871.228833,6049.934983,5903.886732,6092.127425,5252.855972,3825.697265,4333.971984,4836.482956,4899.813458,4241.504423,4179.27233,4629.765534,4666.113795,4590.871295,4851.622221
6.1.1.3 Other medical products,529.9790558,578.5917058,463.9308167,606.6801319,502.3683515,487.8635093,555.2501158,534.3052459,512.3645246,389.7345974,470.2575667,528.135215,565.2726346,566.4827299,503.7970619,468.5197111,620.2878962,672.0484064
6.1.1.4 Non-optical appliances and equipment,260.5225582,397.8335068,1071.518893,680.9410899,191.9964574,694.4991117,507.9611164,354.1119703,1406.307534,530.3639016,692.6816816,1452.30786,1772.404715,1698.645343,1501.735868,695.7384087,338.542925,1347.131744
"6.1.2.1 Purchse of spectacles, lenses, prescription sunglasses",583.7360627,721.243196,853.0634232,705.1977435,679.1552264,747.0644092,828.1339645,730.4637687,636.9639693,610.3092523,702.5738515,622.6632142,768.8725333,795.6942598,747.9954809,578.7973107,575.5764116,602.7331049
6.1.2.2 Accessories/repairs to spectacles/lenses,30.06149889,19.1047685,17.24723022,25.03412706,25.69372406,29.90116301,25.88125554,16.17933621,13.97492436,18.26835867,10.05945395,25.77891917,14.85060983,15.46336243,11.77605543,12.26962638,10.91742536,5.23561061
"6.2.1.1 NHS medical, optical, dental and medical auxillary services",472.9719887,558.2700348,479.0496906,574.3003399,524.4167054,551.2643338,662.3917663,704.8267993,651.0658829,631.7053448,565.6987018,521.7102442,721.8560476,718.0055713,516.2459776,590.6260037,458.5506981,384.6254926
"6.2.1.2 Private medical, optical, dental and auxillary services",714.7539031,720.5209037,626.5533281,891.101728,873.1198877,1072.446704,1172.265552,888.5256882,1094.367875,1125.782198,1185.945996,1381.236004,1207.90436,1103.675123,1314.493016,1072.233326,987.3286909,1154.207924
6.2.1.3 Other services,0.08523034,47.87152704,6.714121342,0.776351381,17.14499455,2.810102992,8.827543153,0.983955372,0,0,178.70146,1.098724115,0,1.535514028,2.184303827,6.461805697,3.706159622,0
6.2.2 In-patient hospital services,334.9929732,123.9697847,223.1430594,22.14340855,246.4952493,51.72004789,17.85544384,5.819295127,15.44366193,16.88866968,1.623630694,5.039323284,58.6667218,64.58920191,22.46559554,67.10122161,60.74681813,51.51335283
7.1.1.1 New cars/vans outright purchase,5894.15528,6246.059611,5460.069575,5943.73509,5469.352864,4064.972233,3515.028655,2861.186248,1954.816541,2085.123115,1519.289219,1222.723011,2067.902657,2312.793142,1688.074897,1765.255889,1603.821714,1966.039041
7.1.1.2 New cars/vans loan/HP purcase,4836.572392,3835.842621,3777.342834,3764.584923,3284.801217,2784.416153,2712.82457,1638.11968,1645.979891,1136.971619,1213.000382,1304.400702,1431.407531,1382.128296,1841.735583,1593.066937,1440.689785,1254.809872
7.1.2.1 Secondhand cars/vans outright purchase,9903.776108,8750.48912,7689.695227,8767.715883,9004.378925,8379.631754,7084.829966,6654.848219,4386.811023,4092.858933,4165.764195,4599.264948,3357.167844,3846.271452,4296.789935,3698.680766,3700.999474,4355.642459
7.1.2.2 Secondhand cars/vans loan/HP purcase,4588.27545,4184.357368,5240.789425,4834.946466,3811.677919,3557.752223,4379.727778,2559.056287,2433.520907,1905.354903,2242.538808,1762.870013,1691.1984,2014.882061,1795.255282,2086.958831,1530.829649,1106.203385
7.1.3.1 Outright purchase of new or secondhand motorcycles,141.6695497,179.8776203,146.5758997,156.4734203,119.0737844,77.20182607,122.7527625,131.7782741,148.0269293,106.8647905,104.9720212,87.66926777,59.07766188,94.37952959,50.54532947,109.9502352,57.55743868,94.43254559
7.1.3.2 Loan/HP purchase of new or secondhand motor cycles,91.226462,111.5596682,126.6674654,91.4274671,57.50783331,56.15378781,91.64571008,59.31075135,63.61906999,24.93142997,53.2927591,35.61352188,48.02127275,70.68615556,18.94283058,12.84784384,13.32472104,11.34419373
7.1.3.3 Purchase of bicycles and other vehicles,120.09245,63.13542661,74.70669013,156.6295234,147.9131677,160.9861808,109.0928023,139.5905716,105.9529202,155.4774145,89.46854567,109.2565548,109.0705923,54.32312942,126.6277179,63.33016978,97.99274904,73.52006008
7.2.1.1 Can/van accessories and fittings,113.2107527,76.52461192,96.57860145,180.1185545,103.4112977,134.3914272,130.5526036,190.0230562,41.86503298,66.32568,44.96906457,70.02397855,31.81200286,57.95797717,39.0922079,41.89270633,47.05999179,28.26464176
7.2.1.2 Car/van spare parts,748.0692957,763.0401148,749.077915,630.8251619,638.0854513,575.7571833,492.4731536,481.7071113,410.3064628,317.989201,299.9331758,374.8173894,367.1086296,408.1147693,376.7166454,348.0806446,249.0794959,257.2485257
7.2.1.3 Motorcycle accessories and spare parts,42.60470177,43.67629459,63.97776728,21.76929324,38.20311246,26.52529534,46.02512765,15.95080734,38.99028362,21.41048691,24.99461618,8.172377499,47.88520701,16.29885977,15.0123133,14.28106132,12.82666872,5.22593977
7.2.1.4 Bicycle accessories and spare parts,60.23284761,85.34307313,57.23310972,55.20319351,92.13613046,64.61392559,38.76322475,60.9744991,49.94742759,41.68944478,34.63731128,34.89536064,48.12432156,57.9684572,38.67243032,44.93034285,79.34984458,60.23852272
7.2.2.1 Petrol,99747.88405,97495.5016,96010.96109,97889.22388,97762.65868,99019.85274,100570.5495,97113.14553,95597.29384,92552.11349,93587.25842,93683.1186,94200.75485,89966.98858,88197.09198,87343.28486,85105.32538,85168.76753
7.2.2.2 Diesel oil,5108.729047,4715.704564,5417.612082,5797.463184,5947.739448,7203.317808,8552.028128,9299.206284,8239.825705,9768.947443,11375.47624,13704.49334,13356.85139,12334.97969,12373.20215,12064.13791,11483.38363,12276.015
7.2.2.3 Other motor oils,229.5227339,148.7928352,148.5889589,117.4372402,114.8629671,104.5399802,220.8314526,105.095414,127.5062184,156.4799028,99.00473538,104.9039595,280.8901831,217.6224097,175.6829027,196.6117642,142.8914115,188.8976963
"7.2.3.1 Car of van repairs, servicing and other work",10335.13716,10686.94058,10779.06672,11261.87689,11370.45861,10282.67139,9819.735791,9658.475144,7538.975976,6404.604309,6880.009355,6478.140888,5818.049145,5511.511086,5447.585675,5063.236551,5004.711432,5382.713099
7.2.3.2 Motor cycle repairs and servicing,107.7763974,150.4721569,114.0678868,155.6110137,162.6795686,152.1617664,111.2592185,64.22923882,67.8299351,68.29269685,65.50304828,45.48797733,19.29853135,44.88541555,50.00275586,33.53416175,61.34332304,76.54871675
7.2.4.1 Motoing organisation subscription,551.7755215,703.6577649,742.5637966,619.7318643,665.5765516,675.4266502,535.0001134,486.8172217,420.2029819,322.5259556,375.3347572,324.7916169,325.6573904,289.1635613,330.4600865,309.6783296,457.0757751,302.0514662
"7.2.4.2 Garage rent other costs, car washing",897.1920773,908.5678503,951.4859697,1113.254729,896.7962879,976.6193893,1046.801455,727.5683124,700.9986702,632.4357307,559.8891176,624.528901,641.7591468,581.3088461,689.1382892,721.2617592,530.0748842,620.8052683
"7.2.4.3 Parking fees, tolls and permits",927.5205689,999.0382885,1157.053288,1343.743658,1264.315957,1158.964099,967.3634258,1077.917935,819.8276489,621.3316063,700.0472682,722.7282511,788.5886949,695.9209317,614.1801633,733.1775416,787.7871224,754.6600253
7.2.4.4 Driving lessons,538.235585,554.7020586,457.3700147,774.8462703,754.0513306,560.5887845,584.811437,412.0074729,313.6588202,357.5560007,299.7635756,229.9442875,284.6591339,267.2211405,353.27718,201.6489772,248.2706152,198.7207923
"7.2.4.5 Anti-freeze, battery water, cleaning materials",734.4656729,352.5583087,370.9603402,249.8660461,342.5328301,257.9576999,298.2451869,317.9334362,229.7193647,331.3974862,84.82254753,247.2775613,195.7191857,319.2954607,145.7678848,160.5318834,179.922499,206.9348196
7.3.1.1 Rail and tube season tickets,933.6669161,1089.867188,1226.923405,1455.468169,1293.310902,1325.898223,1163.344864,1346.112147,1017.288909,1016.413406,1359.151119,1654.104095,1905.670251,1600.608366,1617.88873,1310.521565,1197.579847,1256.532091
7.3.1.2 Rail and tube other than season tickets,2142.632439,2034.212712,2271.459834,2679.963509,2643.706893,2396.377541,2368.479057,2019.547485,1941.699755,1754.884149,1906.68758,2222.324428,1986.995997,2065.035971,2033.024674,2154.557272,1987.652459,2081.23352
7.3.2.1 Bus and coach season tickets,936.553204,998.5563384,1038.774303,1084.636467,1115.090947,1142.588366,1071.42176,1120.251091,782.0841619,847.1262951,1206.610254,1007.106658,1096.646754,905.0720482,919.8424038,830.2214077,733.2923768,699.7778154
7.3.2.2 Bus and coach other than season tickets,3022.898672,2998.760475,3137.971866,2954.657873,3189.412861,2635.171138,2339.501557,2101.250999,1768.246118,1717.147277,2040.305922,1715.689145,1701.474238,1457.851512,1148.114435,949.9576463,945.5790911,957.7167619
7.3.3.1 Combined fares other than season tickets,2198.175362,2551.704572,2732.286948,3321.842891,3150.257289,3046.275324,4951.105647,3893.405716,3020.668959,3589.226855,5242.458717,2912.360232,2478.752164,1846.58315,1673.882334,2992.797955,1420.905557,2611.851547
7.3.3.2 Combined fares season tickets,9924.502616,10906.34089,10546.8548,10999.45919,12687.57695,10887.86712,11244.12655,11105.97516,10459.78779,9817.375758,6108.721754,8152.714661,7413.899214,9391.900085,8541.24986,9206.165271,8474.410071,7116.667795
7.3.4.1 Air fares within UK,2068.589086,2775.727023,2431.530113,2839.127688,3123.39764,2688.452599,2700.594359,3389.430636,2636.696298,2687.238907,3408.972521,3003.195519,2708.941067,2754.280052,2773.068825,2063.53248,2450.843977,2995.354674
7.3.4.2 Air fares inernational,30315.25419,30883.37039,33398.3258,35500.43663,37018.11604,37135.67402,37764.1781,36087.22639,33061.68507,32107.27172,34948.94965,36268.33356,37368.06775,38935.73449,39134.99281,37943.36916,36919.54795,40586.30431
7.3.4.3 School travel,130.7849541,122.6040721,234.643693,151.2473193,125.9665232,84.04958092,48.24366265,290.0562734,67.91537915,68.40809404,62.04950651,54.09867078,34.57926054,77.19281011,153.6302396,61.73118156,33.5626516,47.79156469
7.3.4.4 Taxis and hired cars with drivers,3473.68817,3666.074821,3887.761142,3615.354482,3651.7541,3721.317513,3855.215443,2661.37865,2379.458819,2134.184968,2129.056038,2324.408596,1938.563016,1783.907712,1671.163332,1742.012846,1502.691497,1562.089877
7.3.4.5 Other personal travel and transport services,3861.649549,5445.113493,4294.125411,4437.539258,3410.902711,3039.753163,3220.635412,3227.1483,3962.394585,3990.097356,4655.251652,3928.716546,3963.434804,4307.919337,4515.719168,3781.085514,2779.362257,2368.35423
"7.3.4.6 Hire of self drive cars, vans, bicycles",1126.89362,539.7741783,563.8874755,397.0096451,598.6650441,481.757608,578.926445,539.9838566,413.2416018,714.6441682,190.734781,545.9341922,377.2409343,606.5449328,286.5995523,279.8120324,286.9476836,292.8551003
7.3.4.7 Car leasing,2069.566936,2576.050397,2576.395177,2959.239291,3022.118953,4023.822564,3526.574753,4195.312819,3361.15414,3138.298186,2939.350632,3371.825468,3159.501522,3626.349994,3948.839058,4532.361018,4459.336477,4651.246218
"7.3.4.8 Water travel, ferries and season tickets",1117.766389,2740.978631,2482.27736,1516.739555,1847.989739,2055.019868,1316.485919,1146.317112,1761.780422,1363.885003,2464.849778,2245.387421,2095.414089,2126.39515,3905.336976,1935.596412,1485.967362,2873.718376
8.1 Postal services,529.6423166,391.4643925,525.1247973,553.6779894,473.550395,402.7254125,385.8841708,260.9193935,258.5083724,288.5732371,282.3564574,301.7160707,233.9078123,268.413701,387.7322646,351.0226261,343.9095268,395.0267778
8.2.1 Telephone purchase,59.35352569,61.8109576,60.37313783,70.46253791,56.82610926,79.19373019,69.96914983,42.19437422,42.87815797,30.75963304,43.94828841,51.31145282,44.01601142,18.19821912,17.9711647,31.24742857,13.5127932,23.82643229
8.2.2 Mobile phone purchase,192.214573,192.1751298,276.2823658,239.2549295,265.8388456,238.7951232,284.6083722,219.595154,250.2908585,223.8637103,241.030476,308.7978394,349.6430833,324.5776608,340.7372658,410.5793958,350.4700234,341.8386932
"8.2.3 Answering machine, fax machine purchase",18.22985819,11.92518662,11.63888553,6.354778117,3.940574107,10.81518582,10.83779898,6.285460325,5.699426277,4.923555651,5.445611332,3.910115407,0,1.791973898,0,0,1.290477947,0.918002031
8.3.1 Telephone account,2845.346889,2696.63932,2754.261479,2547.8877,2253.327913,2333.836782,2099.429811,2075.159679,1844.655169,1821.183449,1561.6234,1444.282935,1013.964598,997.2974842,869.927273,637.7917363,630.005371,187.5018985
8.3.2 Telephone coin and other payments,62.38512487,66.41762037,46.69845563,43.52353021,44.60433305,37.17595147,39.95406456,18.04333007,17.32275275,12.6159718,12.40063293,11.85473682,4.759338849,2.601568209,2.906780444,0.088456612,0.446714793,1.551930624
8.3.3 Mobile phone account,1012.363036,1003.805437,1278.867277,1324.183492,1392.43421,1436.413489,1358.385192,1462.419972,1273.405506,1393.77053,1713.815527,1889.389205,1531.674233,1576.519497,1467.843686,1133.544889,1208.98055,1939.632371
8.3.4 Mobile phone othr apyments,480.3916641,529.7846469,634.5007301,615.6140348,553.3506121,531.4652576,517.4027348,439.4777911,335.3760814,334.2028184,354.0286439,285.7909315,166.7928105,142.5026248,94.12305009,66.56641281,55.03868768,81.49561002
8.4 Internet subscription fees,47.1236633,65.24661863,106.7148948,128.610366,123.9185057,141.5260966,113.7768536,106.9281958,95.58629628,103.7944664,0,0,710.067057,714.1218646,660.944411,526.9327341,577.3691221,196.0888679
"9.1.1.1 Audio equipment, CD players incl. in car",963.5976476,640.7571845,579.086011,672.9128366,905.1617674,1109.191614,815.457945,505.4086108,683.2032088,554.9194332,415.549639,356.7741393,551.2788506,628.2106388,241.569137,578.8858368,445.8454545,390.6513559
"9.1.1.2 Audio accessories e.g. tapes, CDs, headphones",1441.7083,1195.493051,1212.096322,1202.420267,1334.45019,1068.292673,894.259758,754.5629809,625.8913112,656.1105349,622.9869107,823.4720081,556.0745649,603.070234,749.3842502,735.3236334,605.4254221,720.7607355
9.1.2.1 Purchase of TV and digital decoder,901.4115856,733.6222784,1589.328239,1195.707478,1142.070466,1552.048201,1665.790523,1610.581096,1347.228361,1289.64289,1225.358461,924.4924242,737.4686054,797.6821553,1549.807603,812.5833238,734.0817354,1022.032721
9.1.2.2 Satellite dish purchase and installation,1.653696834,29.75523258,29.48372682,11.74864305,31.35974503,15.0020236,38.0251723,15.74732882,117.0757282,4.649450031,0,34.84523771,10.41113815,8.120394307,97.16653909,46.57592181,0.76628586,25.58946437
9.1.2.3 Cable TV connection,2.542386587,8.485784252,7.982575517,1.298258632,13.69755299,12.37210241,16.43396762,12.36360724,1.659345912,5.776149505,14.94461286,7.376504011,3.733379863,0,0,7.669243134,3.712188073,0.627201117
9.1.2.4 Video recorder,359.5504713,496.1717366,347.5413058,219.3987583,25.66427754,19.55644679,16.54126904,5.046679155,31.9949874,2.137826965,12.97825093,13.94627514,4.218091568,0,0,27.22829773,0,0
9.1.2.5 DVD player/recorder,0,0,68.56757,166.5989464,336.4174064,139.9176043,203.3054845,183.8090681,80.20047411,151.7255746,60.22853991,95.69881532,143.9722232,138.7448386,54.26626738,48.33994451,22.62067321,38.54985185
"9.1.2.6 Blank, pre-recorded video cassettes and DVDs",823.6333905,899.4377415,1150.270113,832.4923681,1344.88492,1260.794639,1275.363139,989.1999696,785.9874113,671.6867009,771.428726,781.4467123,846.7635083,662.2523061,544.0445684,457.7941898,374.6087496,356.144981
"9.1.2.7 Personal computers, printers and calculators",1349.697467,1753.107437,1520.001229,2875.436531,1742.431862,1952.027561,2675.350318,1633.932517,1631.904431,2077.129296,2327.9969,2475.01911,2840.539961,3162.191057,1959.414589,1951.287805,2222.466216,2066.3504
"9.1.2.8 Spare parts for TV, video, audio",68.77966305,65.95526547,102.4958763,109.9216366,139.4321264,141.1146701,142.3104367,145.9725155,86.78459576,103.2557001,109.3212417,156.1162283,52.16326824,103.2960463,147.6023557,108.124666,41.2872378,93.26858716
9.1.2.9 Repare of AV,110.9663476,92.74185602,100.1192611,123.2743837,161.5369757,109.669717,121.1633547,75.51872096,136.1910618,92.48220871,89.42590063,76.46845578,96.42911294,81.96770598,122.5563418,136.1735388,85.22269016,125.3177318
9.1.3.1 Photographic and cine equipment,736.5937978,883.5211516,892.7535342,1038.279416,1188.377677,1044.30929,1052.46887,1274.75381,865.4394202,626.6687136,514.9448943,654.5994656,520.5117914,372.7259805,273.1061123,463.7570123,447.87555,541.0795563
9.1.3.2 Camera films,173.0395051,124.9595182,112.1278861,95.86360952,76.80817958,50.44205987,42.10594409,28.41315677,11.06129132,14.11401082,12.85879659,18.55342079,3.445922566,3.205978653,1.979427988,12.04871544,6.361376081,2.393779873
"9.1.3.3 Optical instruments, binoculars, telescopes",126.5060425,50.94361034,39.38737024,15.76738327,104.1624038,32.86377549,21.61291054,29.31374652,17.39698094,60.31436842,371.3489617,18.42313965,2.594541031,32.21283212,438.5725326,24.37551479,110.3946119,32.01140474
"9.2.1 Purchase of boats, trailers and horses",995.1567291,1078.249862,867.9861542,991.1040833,1274.782662,1453.720021,592.1723389,2194.044116,1030.626601,755.2613118,1185.196589,460.7386215,764.7957255,926.9249181,625.7003914,570.4150258,919.3406615,795.8585926
"9.2.2 Purchase of caravans, mobile homes",1391.48736,1153.16428,2011.746507,1238.222373,720.664751,1051.624621,1751.036882,353.1617108,1012.048548,1310.731553,458.2389927,1125.312647,870.4794826,972.8364435,1932.658945,1058.315418,1121.445857,873.0555043
"9.2.3 Accessoris for boats, horses, caravans and motorhomes",331.553838,469.9899176,147.1324037,168.4021705,278.2603462,305.7819193,207.9040257,160.626355,199.2582466,48.43419481,192.7497297,63.00617504,31.36286816,150.9526638,85.94288714,87.81647236,190.9575416,110.9922119
9.2.4 Musical instruments,22.55995542,9.438303999,10.30674264,21.42600575,21.46249111,44.65955555,22.93754452,2.561117807,9.637891656,4.687851177,19.95916933,32.64925627,13.28846901,14.91301256,18.63639657,17.93501253,6.236945057,5.716161402
9.2.5 Major durables for indoor recreation,41.84236837,91.72093196,17.33062498,6.245277931,102.7597311,5.193664578,0.401100565,0.277648835,0.296554403,5.10609789,4.268600003,15.28049535,7.121412442,0,13.19923742,0,16.81422155,33.98999475
9.2.6 Maintenance and repair or other major durables for recreation and culture,627.2919567,430.7927819,352.7344838,813.4250977,423.0278627,351.9155323,291.1985527,281.5278795,252.6260959,237.7815496,360.6967323,609.6836301,723.9690265,576.6288114,553.2052273,866.7425424,240.0618852,1171.596267
9.2.7 Purchase of motor caravan - outright purchase,41.14993916,35.15777532,163.5509485,683.7690305,1086.399899,428.9260373,574.9566268,240.1417562,316.6577012,82.29715767,382.9147804,390.1999664,413.4328568,470.6522504,468.7414329,1021.359695,915.8091573,591.9555231
9.2.8 Purchase of motor caravan  - loan/HP,173.7002377,151.0956749,67.09778225,46.6832613,21.55851707,0,75.0782005,19.29424714,77.69116029,140.8118284,63.74568232,17.50230461,23.27434057,192.2651572,0,6.23690629,47.08583791,0
"9.3.1 Games, toys and hobbies",2750.181783,2909.233198,3142.766853,2908.49559,2743.103972,2678.581577,2875.075221,2438.888034,2190.623477,1818.077503,2117.295479,2183.963129,2021.218383,1951.345318,1984.244436,1554.357082,1805.445224,1757.954493
9.3.2.1 Computer software and games cartridges,2326.742571,2710.154503,2853.332148,3303.789253,2616.46719,2503.853127,2515.746783,2392.72609,1931.891689,1793.154005,1922.812396,1802.258486,1812.797374,1578.678949,1484.388135,1250.998924,1353.994614,1636.19504
9.3.2.2 Console computer games,1668.12527,1257.710462,1082.020272,574.9568103,1125.888585,1147.34646,1667.733279,1974.741397,1294.691183,1048.059016,1070.147754,566.3561445,596.8358492,788.2098086,687.5083601,633.46608,714.3379248,494.1997571
"9.3.3 Equipment for sport, camping and open-air recreation",1349.512938,1086.411881,1144.675287,1593.824362,1140.778053,1568.851813,1656.135575,1202.029777,789.8557735,1076.552123,924.3100667,924.5791368,782.7530867,992.5761644,872.686386,826.319115,615.3434936,730.8015286
9.3.4.1 BBQ and swings,89.82812751,236.9194548,188.653707,202.0905307,159.0706898,92.92886507,97.92367606,43.93160525,73.88751001,42.14731789,64.19740316,58.71475637,53.07394339,48.85084522,88.67026595,33.55704826,44.93072563,29.0673132
